,transaction_time,quantity,open,high,low,close,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
0,2024-03-01 00:00:00,165.164,61203.4,61250.6,61199.4,61244.6,61244.5,4.724,61244.6,2.677
1,2024-03-01 00:00:30,174.535,61244.6,61275.3,61231.3,61274.4,61274.3,2.333,61274.4,2.406
2,2024-03-01 00:01:00,118.047,61274.3,61300.8,61269.9,61276.9,61276.8,1.237,61276.9,6.454
3,2024-03-01 00:01:30,211.307,61276.8,61276.8,61235.8,61254.6,61254.5,3.228,61254.6,3.839
4,2024-03-01 00:02:00,56.684,61254.5,61277.8,61227.1,61227.2,61227.1,0.093,61227.2,13.384
5,2024-03-01 00:02:30,83.437,61227.1,61237.7,61208.3,61218.3,61218.2,2.442,61218.3,5.711
6,2024-03-01 00:03:00,100.497,61218.2,61245.4,61202.8,61227.6,61227.6,2.861,61227.7,2.01
7,2024-03-01 00:03:30,52.73,61227.6,61261.3,61227.6,61237.8,61237.7,4.805,61237.8,2.699
8,2024-03-01 00:04:00,40.982,61237.7,61249.7,61222.0,61247.4,61247.3,0.914,61247.4,6.069
9,2024-03-01 00:04:30,35.077,61247.4,61247.4,61200.0,61200.1,61200.0,6.539,61200.1,8.214
10,2024-03-01 00:05:00,66.371,61200.0,61283.0,61200.0,61283.0,61282.9,13.217,61283.0,2.776
11,2024-03-01 00:05:30,66.17999999999999,61282.9,61310.9,61282.8,61305.2,61305.2,1.659,61305.3,5.157
12,2024-03-01 00:06:00,42.635,61305.3,61318.2,61300.2,61318.2,61318.1,2.63,61318.2,3.01
13,2024-03-01 00:06:30,65.894,61318.1,61334.8,61318.1,61334.7,61334.7,9.931,61334.8,0.029
14,2024-03-01 00:07:00,111.183,61334.7,61397.5,61334.7,61389.6,61389.5,4.353,61389.6,20.732
15,2024-03-01 00:07:30,40.637,61389.5,61389.6,61382.1,61386.9,61386.9,3.465,61387.0,3.349
16,2024-03-01 00:08:00,24.453,61386.9,61387.0,61369.1,61383.3,61383.3,7.266,61383.4,11.228
17,2024-03-01 00:08:30,65.373,61383.4,61404.6,61373.7,61388.7,61388.7,0.311,61388.8,6.657
18,2024-03-01 00:09:00,33.179,61388.6,61400.0,61383.3,61397.3,61397.3,0.656,61397.4,3.517
19,2024-03-01 00:09:30,44.386,61397.4,61397.4,61362.8,61367.6,61367.5,7.363,61367.6,2.313
20,2024-03-01 00:10:00,115.791,61367.5,61383.6,61353.3,61376.0,61376.0,5.36,61376.1,0.451
21,2024-03-01 00:10:30,60.627,61376.1,61413.7,61376.0,61389.2,61388.9,0.017,61389.0,5.359
22,2024-03-01 00:11:00,34.008,61388.9,61412.1,61388.9,61397.1,61397.1,2.346,61397.2,3.19
